id,question,answer,option1,option2,option3,option4,correctIndex
23,"What statements are true about the following relation definition ? <relation code=""Product2KeywordRelation"" autocreate=""true"" generate=""true"" ■→ localized=""true"" <deployment table=""Prod2KeywordRel"" typecode=""604""/ <sourceElement qualifier=""keywords"" type=""Keyword"" cardinality=""many"" ■→ ordered=""true"" collectiontype=""list"" <descriptionKeywords</description <modifiers read=""true"" write=""true"" search=""true"" ■→ optional=""true""/ </sourceElement <targetElement qualifier=""products"" type=""Product""...",Cockpit Framework and Jalo Layer.,Cockpit Framework and Jalo Layer.,,,,-1
24,Which cockpit is used for managing product catalog?,1. Product cockpit,Product cockpit,Administration cockpit,WCMS cockpit,CS cockpit,0
25,"Which of the following item type attribute default value definition valid ? enumerationService().getEnumerationValue(“validEnumeration”, “validValue”) Domain Datamodelling Question 31 Skipped Why should you specify an index for an item type in the items.xml file? Correct selection To ensure the uniqueness of specific attributes To enable the item type to be indexed by Solr To enable the item type to be synchronized Correct selection To provide a covering index for a query Domain...",ant modulegen nameOfTheAccelerator,ant modulegen nameOfTheAccelerator,,,,-1
26,Which of the following synchronization options are available OOTB?,5. All of the above,Selecting specific product catalog to sync.,Removing existing items in target CV that don't exist in source CV.,Configuring to sync only items that exist in both source and target CV.,Configuring syncing of language versions of items.,4
27,Why would you run a dependent synchronization ?,2,your catalogs extend each other,you want to have cross references between catalog versions,none of the above,you want to avoid cross references between catalog versions,1
28,"Within SAP Commerce catalog, there can be multiple catalog versions active at the time for a given webfront. backoffice allows this by enabling the catalog manager to update the CMSSite with both the catalog versions.",1. True,True,False,,,0
29,"How could you improve the following code (groovy) ? import de.hybris.platform.processengine.enums.ProcessState def businessProcessService = spring.getBean(""businessProcessService"") def modelService = spring.getBean(""modelService"") def process = businessProcessService.createProcess(UUID.randomUUID().toString(), ""myProcess"") modelService.save(process) businessProcessService.startProcess(process) modelService.refresh(process) if(ProcessState.SUCCEEDED != process.getProcessState()){...","Delete the useless call to save, Use the method T startProcess(String arg0, String arg1); to create a process, and Delete the second call trying to start the business process.",Generate a unique identifier for the business process,Delete the useless call to save,"Use the method T startProcess(String arg0, String arg1); to create a process",Delete the second call trying to start the business process,1
30,Please select the correct format option on which Business Process Management (BPM) in SAP Commerce is based.,1. XML,XML,JSON,Impex,CSV,0
31,Select the correct extension which enables Business Process Management and Event System in SAP Commerce.,3. yacceleratorbusinessprocess,yacceleratorstorefront,yacceleratorordermanagement,yacceleratorbusinessprocess,yacceleratoreventprocess,2
32,What is correct order in Order Management Process?,"3. Sourcing, Allocation, Label, Pick, Pack","Sourcing, Allocation, Label, Pack, Pick","Pick, Pack, Label, Allocation, Sourcing","Sourcing, Allocation, Label, Pick, Pack","Allocation, Sourcing, Pick, Pack, Label",2
33,What steps you need to have to fulfil in order to create a new cronjob ?,"2, 4",Create a new cron job expression from Spring,Implement a job,Add the new cronjob in your local.properties,Create a new item type extending CronJob,1
34,Which rule is applied for Variations during the experience calculation process in Personalization (based on SmartEdit) ?,2,Only Variations of the same Customization can be active at a time,Only one single Variation per Customization can be active at a time,Only Variations of the same rank in a Customization can be active at a time,Only Variations affecting different content can be active at a time,1
35,A checkout step has ?,"checkoutStepValidator reference, checkoutGroup reference, transitions map, progressBarId string.",checkoutStepValidator reference,paymentGatewayString,checkoutGroup reference,transitions map,0
36,A warehousing agent can:,3. adjust stock levels for products,Create product,Syncronize product,adjust stock levels for products,Create tickets on behalf of customers,2
37,By default when you load an item from the service what is fetched inside the project ?,4,All,Only references values,Nothing all attributes are lazy loaded,Only literal values,3
38,By using the xyformsstorefrontcommons AddOn which of the personalized featurres is not possible to implement?,2. versioning,Auto-save,versioning,styling,auto-delete,1
39,Choose the correct definition for the bean scope singleton,1,"One shared instance, which will be returned by all calls to getBean with the given id","One shared instance per thread, which will be returned by all calls to getBean with the given id","One shared instance per tenant, which will be returned by all calls to getBean with the given id",Independent instance resulting from each call to getBean,0
40,Choose the right definition for the modulegen ant task ?,Generate sets of dependent extensions to quickly start new projects or create new applications.,Generate a single dependent extension to quickly start new projects or create new applications,Generate sets of dependent extensions to quickly start new projects or create new application,Generate new extensions based on extension templates,Generate new empty extensions,1
41,Dynamic forms are used to ?,"Executes dynamic actions on attributes, sections, and tabs when a model property changes. Dynamic forms in SAP Hybris are used to execute dynamic actions on attributes, sections, and tabs when a model property changes. This allows for interactive and responsive forms that can update and adapt based on user input and changes to the model properties. By using dynamic forms, you can create flexible and interactive user interfaces that respond to user actions and provide a dynamic user experience. Dynamic forms help enhance the usability and functionality of forms in SAP Hybris and enable...",Automatically saves input data when the user fills a form from the accelerator,"Executes dynamic actions on attributes, sections and tabs when a model property changes",Executes dynamic actions on dynamic attributes based on the spring actions attached to the model,Automatically generates html forms from an Hybris model object,-1
42,Each tenant in SAP Commerce Cloud has its own type system:,1. True,True,False,,,0
43,Following are the key features of the Hybris Payment Module:,1. Centralized processing of all payment channels 2. Provides a secure payment gateway between E-Commerce site 3. it provides customer with multiple payment options and easy integration to Hybris platform. 4. Removes payment complexity and allow connecting to multiple payment providers.,Centralized processing of all payment channels,"Provides a secure payment gateway between E-Commerce site, customer, and payment processing channel.",it provides customer with multiple payment options and easy integration to Hybris platform.,Removes payment complexity and allow connecting to multiple payment providers.,0
44,"How can you be sure your property file are compatible with every existing characters (French, Chinese, Vietnamese, Hindi...) ?",1,none of the above,enforce encoding all your property files in ASCII,"each language should have a different encoding (UTF-FR for French, ISO-HINDI for In?dian,...)",enforce encoding all your property files in UTF-1,0
45,How can you configure a new checkout flow ?,"Using a spring configuration. The checkout flow in SAP Commerce can be configured using a spring configuration. By defining the checkout flow in the spring configuration files, you can customize the order in which the checkout steps are executed and configure the behavior of the checkout process. This allows you to tailor the checkout flow to meet the specific requirements of your business and provide a seamless and efficient checkout experience for customers.",From a java implementation of de.hybris.platform.acceleratorstorefrontcommons.checkout.CheckoutFLow,Using a spring configuration,Using an impex query,Using a JSP tag file,1
46,How can you initialize SAP Hybris ?,using ant initialize and from the HAC.,from the backoffice,using ant initialize,from the HAC,from the HMC,1
47,How can you use environment variables in your Hybris configuration ?,Using hybrisio.config= assuming the env variable exists and is named yhybrisioconfig.,Using hybrisio.config= assuming the env variable exists and is name yhybrisioconfig,From a call back scripts,Using hybrisio.config=? assuming the env variable exists and is name hybrisioconfig,Using hybrisio.config=$NAME assuming the env variable exists and is named NAME,-1
48,How could SAP Hybris decide to create multiple consignments for the same order ?,2,whenever size of a product is too big for one shipment,if you have matching order splitting strategy,if you use the B2B accelerator,if you have implemented a custom business process for order fulfillment,1
49,How do you install a new addon ?,use the ant target addoninstall.,use the ant target syncaddons,use the ant target addoninstall,add the addon under external-dependencies.xml,add the addon inside your localextensions.xml,1
50,How do you switch user context (current user) in your code?,2,getUserContextService().setUserContext(user.getUsername () );,getUserService().setUserContext(user.getUsername( ) );,getUserService().setCurrentUser( getUserService().getUserForUID(user.getUsername( ) ) );,getAuthenticationService().setCurrentUser(getUserService().getUserForUID(user.getUsername( ) ) );,1
51,How does SAP Hybris provides to secure the platform ?,"1, 2, 3, 4",xss protection,access rights,attribute encryption,password encoding,0
52,How many transactions would be created by the following Groovy script ? def transaction = de.hybris.platform.tx.Transaction.current() transaction.begin() transaction.begin() //Do something transaction.commit() transaction.begin() //Do something transaction.commit() transaction.commit(),3,Two transactions would be created,Three transaction would be created,One transaction would be created,Code execution will fail,2
53,How to enable client side caching for yweservices ?,4,@CacheEnabled,@ClientCache,@Cacheable annotation,@Cache annotation,3
54,How would you define OAUTH2 ?,"An authorization protocol. OAuth 2.0 is an authorization protocol that allows applications to access resources on behalf of a user without sharing the user's credentials. It provides a secure and standardized way to authorize access to resources and services, enabling applications to interact securely and efficiently. OAuth 2.0 is widely used in modern web applications and APIs to manage access control and authentication.",An application protocol like HTTP but for authorization,An authorization protocol,A library built by SAP Hybris to handle authentification,A library built by Spring to handle authentification,1
55,"In order to force a product to be listed on top of a given category, what out of the box feature(s) should you use ?",hero products.,boost rules,hero products,hero rules,top products,1
56,in which service can the language callbacks be disabled ?,I18N Service,CommonI18NService,LegacyI18N Service,L10N Service,I18N Service,1
57,Is Guest checkout available in accelerator?,1. Yes,Yes,No,,,0
58,Is it Possible for two tenants to use different extensions ?,Yes using allowed.extensions and forbidden.extensions inside a tenant specific configuration file.,Yes using.allowed.extensions and .forbidden.extensions inside your configuration,Yes using allowed.extensions and forbirdden.extensions inside a tenant specific configuration file,No SAP Hybris is not compatible,Yes using two diffrent localextensions.xml one for each tenant,-1
59,Is it possible to add new enumeration values by runtime ?,Yes if the enumeration is a subtype of the HybrisEnumValue class and Yes if the enumeration is dynamic.,No,Yes if you are using JRebel,Yes if the enumeration is a subtype of the HybrisEnumValue class,Yes if the enumeration is dynamic,2
60,"Is the following dynamic attribute handler correct ? package com.hybhub.core.model.dynamic; import de.hybris.platform.core.model.product.ProductModel; import de.hybris.platform.servicelayer.model.attribute.DynamicAttributeHandler; public class HybhubDynamicHandler implements DynamicAttributeHandler < String, ProductModel { @Override public String get(ProductModel product) { return product.getCode() + "" - "" + product.getDescription(); } }",1,"No, it must also implement a setter",Yes,"No, it must extends ServiceLayerItems","No, it must be in a different package",0
61,Out of the box how can you access the assisted service module functionalities ?,from the targeted storefront add a request parameter asm equal true.,from the targeted storefront add a request parameter asm equal true,go to the /cscockpit,from the backoffice open the asm perspectiv,go to the /asmcockpit,0
62,Please choose the correct option defining Basic Structure of item unit.,"4. atomictypes, collectiontypes, enumtypes, maptypes, relations, itemtypes","atomictypes, enumtypes, maptypes, collectiontypes, relations, itemtypes","atomictypes, relations, itemtypes, collectiontypes, enumtypes, maptypes","itemtypes, atomictypes, collectiontypes, enumtypes, maptypes, relations","atomictypes, collectiontypes, enumtypes, maptypes, relations, itemtypes",3
63,SAP Hybris semi-session failover mechanism allows to ?,3,to automatically redirect users to a temporary page,automatically redirected users to the login page of a new node when on node goes down,to transfer all sessions of the failing node to other available nodes without loss of data,to always have all sessions replicated on every nodes,2
64,SCPI-One can add virtual attributes/ run time attributes or select existina data model attributes to inport the data.,1. True,True,False,,,0
65,Select statements that are true about intenalization and localextensions in SAP Commerce.,"1, 2",Internationalization in SAP Commerce is language-specific and not country-specific logic that is independent of the operating system.,"Localization in SAP Commerce is the logic used to fetch a locale specific resource, that is String or ResourceBundle, which are used to present region specific content to the outside world.","Internationalization in SAP Commerce is the logic used to fetch a locale specific resource, that is String or ResourceBundle, which are used to present region specific content to the outside world.",Localization in SAP Commerce is language- and country-specific logic that is independent of the operating system.,0
66,Select the correct file which is used to define new types or extend existing types in SAP Commerce.,2. items.xml,localextensions.xml,items.xml,extesioninfo.xml,external-dependencies.xml,1
67,"Skipped Out of the box, what CMS items are used to build the top navigation menu ? Correct selection CMSLinkComponent Correct selection CMSNavigationNode TopMenuNavigationComponent Correct selection NavigationBarComponent","CMSLinkComponent, CMSNavigationNode, and NavigationBarComponent.","CMSLinkComponent, CMSNavigationNode, and NavigationBarComponent.",,,,-1
68,Skipped Which of the following user / user group can't be deleted ?,4,backofficegroup,cockpitgroup,anonymousgroup,anonymous,3
69,"The ASM module is not compatible with all SAP Hybris accelerator store front (B2C, B2B and Telco)",2. False,True,False,,,1
70,The SAP Hybris out of the box model service is used to ?,"2, 3",Modify new item type defintion,Lock a model object,Remove a model object,Creat new item type definition,1
71,The SAP Hybris Subscription module was built to provide subscription based support for different pricing and product related promotions.,1. True,True,False,,,0
72,The Spring Integration Framework is used for ?,2,OCC Webservices,Hot Folder,Service Layer,Datahub,1
73,This is more of a true cloud solution running on Microsoft Azure using modern technology such Kubernetes:,3. CCV3,CCV1,CCV2,CCV3,SAP Cloud Platform Integration,2
74,"Using Netflix's Hystrix API, in Hybris, one can define:",5. All of the above,Timeout for webservice calls from Hybris,A fallback mechanism when the timeout occurs,Enable shock circuit when the external webservice is down,Only 1 & 2,4
75,Vendor Management is a feature of which SAP Commerce module?,4. Marketplace Accelerator,Accelerator for China,B2B Accelerator,B2C Accelerator,Marketplace Accelerator,3
76,What ant target is used to update tomcat server configuration ?,"2, 4",ant customize,ant server,ant build,ant all,1
77,What are important methods of a checkout step controller?,1. enterStep() 3. getCheckoutStep() 5. back(),enterStep(),execute(),getCheckoutStep(),forward(),0
78,What are options allowed in a cahce region?,"3, 4, 5",Cache item types,Cache region name,Cache size,Cache eviction policy,2
79,What are the communication protocols supported by Hybris ?,"1, 3, 5",UDP - Unicast,JGroups - Multicast,UDP - Multicast,UDP - Singlecast,0
80,What assessments are correct about modules and extensions ?,"1, 3",A module includes a set of functionalities fulfilled by one or more extensions,An extension is never used alone,An extension holds source code and configuration files,A module is a synonym of template,0
81,What configuration file has the highest priority ?,local.properties from the config extension.,advanced.properties from the platform extension,project.properties from the platform extension,local.properties from the config extension,local.properties from the custom extension,2
82,What databases are supported by Hybris ?,"1, 2, 3",MySQL Server,MS SQL Server,Oracle DB,Microsoft Azure DB,0
83,What does product bundling feature offers/allow?,5. All of the above,Create complex and personalized product offerings of digital goods and services,Have flexible pricing options for bundled products,Flag products that cannot be sold stand-alone,Have guided selling capabilities for bundled products,4
84,What does the ant target customize do ?,copies all files from/config/customize folder to/ bin folder recursively.,copies all files from/config/customize folder to/ bin folder recursively,Customize the tomcat configuration folder from the config folder,inject all properties into tomcat configuration,Execute all call back scripts,0
85,What is a saved query ?,A flexible search query saved inside the SavedQuery item type and reusable from the HMC.,A way of reusing a query from the flexible search service,A flexible search query saved inside the SavedQuery item type and reusable from the HMC,A query that has been cached by the service layer,There is no such query,1
86,What is highest B2B organization block ?,"Unit. The highest B2B organization block in SAP Commerce is the Unit. The organizational structure in SAP Commerce is hierarchical, with the Unit representing the highest level of the B2B organization. Units can contain other organizational blocks such as Companies, Divisions, and Regions, allowing for a flexible and scalable organizational structure. By using Units, organizations can define and manage their B2B structure and relationships effectively, enabling efficient management of business processes and operations.",Region,Division,Unit,Company,0
87,What is the best way to create a new addon for your store front ?,Generate a new extension from yaddon.,Generate a new extension from addon,Generate a new extension from yempty,Generate a new extension from yaddon,Generate a new extension from yoccaddon,2
88,What is the correct definition of a B2B approver ?,to provide customer approval for an order.,to view the reports of the organization's expenditure,to be able to administer the organization structure,to provide customer approval for an order,to be able to place order,2
89,What is the correct definition of the service layer ?,"interconnects model objects with the client (API, controllers...) and holds logic to perform business processes. The service layer in SAP Hybris is responsible for interconnecting model objects with the client (API, controllers...) and holding logic to perform business processes. It acts as an intermediary between the model layer and the client layer, providing a bridge for data access and business logic. By using the service layer, you can encapsulate business logic, manage transactions, and interact with model objects in a structured and efficient manner. The service layer plays a...",interconnects model objects with the the dao layer,"interconnects model objects with the client (api, controllers...) hold logic to perform business processes",interconnects external service with SAP Hybris hold logic to perform business processes,"interconnects data objects with the client (api, controllers...) and hold logic to perform business processes",-1
90,What is the notification framework used for ?,2,notify cockpit users,notify customers,notify administrators,facade for the event service,1
91,What is the recommended way of setting cluster ids ?,Use cluster.node.autodiscovery=true.,Create a subnet and configure nodes to listen to the broadcast address,Activate the Spring Cluster functionality,Manually configure a unique id on each node,Use cluster.node.autodiscovery=true,3
92,What is true about the DefaultCMSComponentController controller ?,1,It is used by default if no specific controller are implemented,It will inject all front-end attributes (non system) into the model,It will inject all attributes into the model,Generic Implementation : The DefaultCMSComponentController is a generic controller that serves as a fallback option for rendering CMS components when no specific controller is implemented for a component type. This controller provides a...,0
93,What is/are the supported transport protocols in JGroups?,2. UDP (IP Multicast) 3. TCP 5. JMS,HTTP,UDP (IP Multicast),TCP,SSH,1
94,What media storage strategy does SAP Hybris 6.2 offers out of the box ?,Amazon S3 media storage strategy and Windows Azure Blob media storage strategy.,nfs media storage strategy,Amazon S3 media storage strategy,Windows Azure Blob media storage strategy,Google Cloud media storage strategy,1
95,What modules are available in base Commerce?,1. Base Commerce 2. webservice Commerce 3. Commerce Services,Base Commerce,webservice Commerce,Commerce Services,Documentation Service,0
96,"What payment steps is described by the following definition ?Transfer back money to a customer account, the transfer not being associated with any order or previous transactions",Stand alone refund.,Capture,Stand alone refund,Refund,Authorization,1
97,What service should you use to save an model ?,modelService.,jaloService,serviceLayerService,modelService,persistenceService,2
98,What statements are true about stock levels ?,"1,2,4",A base store is attached to a single warehouse,A single warehouse can contain multiple stock levels for the same product,A product can be sold even if it has no stock,The stock service can check stock levels across multiple warehouses,0
99,What statements are wrong about converters ?,"1, 2, 4",They contain a list of attributes to convert,They all have the same bean parent abstractPopulatingConverter,They are un-aware of the object type they are converting,They contain a list a populators to call,0
100,What statements are wrong about extensions ?,"They have to be inside the bin folder, They need to have a dependency on yempty, and They are always automatically loaded.",They can written using groovy scripts,They have to be inside the bin folder,They need to have a dependency on yempty,They are always automatically loaded,1
101,What statements are wrong about the build framework ?,"1, 2, 4",Every ant targets compile the source files,It is runnable only from your platform folder,It generates and compiles sources from items.xml files,It compiles extension in a pre-defined order,0
102,What's true about Progressive Web Apps (PWAs) in SAP Commerce?,1. It's a website. 2. It have offline capabilities. 5. It's faster and don't require updates.,It's a website.,It have offline capabilities.,It allows pull notifications onlt.,It increases relying on web-server heavily.,0
103,When creating a new item how do you generate a new primary key ?,Primary keys creation is automatically handled by the service layer.,Primary keys creation is automatically handled by the service layer,Using the primaryKeyService,Primary keys creation is automatically handled by the database,Using java.util.UUID.randomUUID(),0
104,When do you use cluster aware events ?,"When you need to run an event from a specific node. Cluster-aware events in SAP Hybris are used when you need to run an event from a specific node in a cluster. By making an event cluster-aware, you can ensure that it is executed on the desired node and that the event processing is controlled and managed within the cluster environment. This allows you to target specific nodes for event execution and coordinate event processing across the cluster effectively.",All events are cluster aware,When you need to broadcast an event to all nodes,When you run a cluster all events need to be cluster aware,When you need to run an event from a specific node,3
105,"When you intialize Sap Hybris from ant ,what actions are executed","1, 4",Aborts all running cronjobs,import all project data,Delet all known tables,Delete and recreat the database,0
106,When you use advanced personalization what are the valid scopes for segment rule results?,Session.,Session,Permanent,Singleton,Web,0
107,"Which extension contains business logic such as order allocation, order cancellation, and order fulfillment in SAP Commerce?",5. ordermanagementfacade,warehousebackoffice,warehousing,warehouseingwebservice,orderselfserviceaddon,4
108,Which of the following application contexts are valid ?,"2, 4",Tenant service application context,Global web application context,HAC web application context,Tenant core application context,1
109,Which of the following are out of the box point of services ?,Warehouse and Store.,Factory,Warehouse,ServiceDesk,Store,1
110,Which of the following are price row attributes ?,disabled and pending.,disabled,new,pending,deleted,0
111,Which of the following are true about assisted service module (ASM) in SAP Commerce?,5. All of the above,ASM agent can emulate customer's cart,ASM agent can create account on behalf of customer,"For B2B customers, ASM agent can support a customer within the organization",An agent can enter into the ASM mode via Deep Link from customer cockpit,4
112,Which of the following components are deprecated ?,Cockpit Framework and Jalo Layer.,Task Engine,Service Layer,Cockpit Framework,Jalo Layer,2
113,Which of the following interecptors are valid ?,"Init Defaults Interceptor, Prepare interceptor, Load Interceptor.",Init Defaults Interceptor,Check Interceptor,Prepare interceptor,Load Interceptor,0
114,Which of the following statement are true in regards to the try-with-resources,1. Any Class which implements java.lang.Closeable interface can be used with try-with-resources 2. Any Class which implements java.lang.AutoCloseable interface can be used with try-with-resources 4. it deals with resource leak issues,Any Class which implements java.lang.Closeable interface can be used with try-with-resources,Any Class which implements java.lang.AutoCloseable interface can be used with try-with-resources,FieldInputStream fin = new FieldInputStream(input); fin.close()l will throw an exception,it deals with resource leak issues,0
115,Which of the following statements are correct?,1. Attribute-related permissions don't override type-related permissions. 2. Global permissions override type-related permissions.,Attribute-related permissions don't override type-related permissions.,Global permissions override type-related permissions.,Item permission assignments allows you to define very fine-grained access control in that you are able to grant or deny permissions to item instances.,,0
116,Which one of the following flexible correct is valid ?,select {name[de]} from {product}. The flexible search query is valid and can be used to retrieve the name attribute in German for products. The query selects the name attribute in German for products and uses the [de] qualifier to specify the language code. This allows you to retrieve localized attributes based on the language code specified in the query. The query structure is correct and can be executed to retrieve the desired information from the database.,"select {name} from {product},{lang} where {lang} = ‘de'",select {name.de} from {product},select {name[de]} from {product},select {name}[de] from {product},2
117,Which one of these bean injections are valid ?,"Inject using @Resource annotation and Registry.getApplicationContext().getBean(""myBean"").",Inject using @Resource annotation,"Registry.getMasterTenant().getBean(""myBean"")","Registry.getContext().getBean(""myBean"")","Registry.getApplicationContext().getBean(""myBean"")",0
118,Which type of network products is suggested by Hybris to be used for cluster communication for faster and reliable transfer?,3. UDP,TCP,HTTP,UDP,FTP,2
119,Why a Spring MCV controller needs to return a String,To load a view.,To load a servlet,To load a view,To load a model,To return it as an HTML page,1
120,Why is HSQLDB is not recommended for production ?,"it's not optimized for production, it does not support connection pooling, and it's not ACID compliant.",it's not optimized for production,it cannot be deployed to multiple nodes,It does not support connection pooling,It's not ACID compliant,0
121,With default configuration when you load a model item with the model service (for examples product model).What is automatically loaded inside the object ?,"nothing, all attributes are lazy loaded.",only literal values,"nothing, all attributes are lazy loaded",only reference values,all,1
122,With respect to Cloud Hot Folder. Which of the following statements are true?,"Cloud Hot Folder provides drag-and-drop features for the files.; Cloud Hot Folder automatically gets created when an environment is provisioned in Cloud Portal.; Cloud Hot Folder enables importing of Impexes and CSVs from Azure Blob Storage.; Cloud Hot Folders are configurable in Cloud Portal.; In Public Cloud, files are first saved to Azure Blob Storage and then they are pushed to Cloud Hot Folder.",Cloud Hot Folder enables importing of impexes and CVs from Azure Blob Storage.,Cloud Hot Folders are configurable in Cloud Portal,"in public cloud, the cloud hot folder is a feature that enables importing of impexes and CVs from Azure Blob Storage.",Cloud Hot Folder provides a drag and drop feature for importing files.,1
123,"After adding a new attribute into the product item type definition, what is needed to forward this attribute into the SOLR index ?",2,nothing the build process would generate a value resolver based on the attribute type and map it with SOLR,you must create a new SolrIndexedProperty item,none of the above,you must create a new value resolver,1
124,How does SOLR handle localized attributes ?,"it creates one attribute for each language (name ends with en, de...). When handling localized attributes in SOLR, the system creates one attribute for each language, with the attribute name ending with the language code (e.g., en, de). This allows the system to store and index the localized attributes separately for each language, enabling efficient search and retrieval of localized content. By creating separate attributes for each language, SOLR can manage and process localized data effectively and provide accurate search results based on the language specified.",it creates a map for each localized attribute (the key being the language code),it doesn't store localized attributes,"it creates one attribute for each language (name ends with en, de...)",it creates a copy of the each product document for each language,2
125,"If you are testing a Flexible Search Restriction, the user you are running the query as ?","should be a member of the admin group. When testing a Flexible Search restriction in SAP Hybris, the user running the query should be a member of the admin group. This ensures that the user has the necessary permissions and access rights to execute the query and retrieve the data. By being a member of the admin group, the user has the required privileges to run the query and test the restriction effectively. This helps ensure that the query is executed correctly and that the restriction is applied as intended.",should be flexiblesearchquery,should be a member of the searchquery group,should be a member of the admin group,should be admin,2
126,In production environment what are recommended ways to config solr,"1, 4","Standalone mode, with master/save servers",Remote mode,Embedded mode,Standalone mode,0
127,"Incorrect In order to test a DAO implementation what test should you write ? Your answer is incorrect @UnitTest Correct answer @IntegrationTest @SqlTest @DatabaseTest Overall explanation Correct answer is @IntegrationTest because testing the DAO (Data Access Object) typically requires integration testing because the DAO is responsible for accessing the data store and retrieving data from it. In order to test the DAO, you need to ensure that it is able to interact correctly with the data...",@IntegrationTest,@IntegrationTest,,,,-1
128,"Is this a valid Flexible Search Query ? select {p.description[fr]:o} from {Product as p} where {p:pk} in ( {{ select {p:pk} from {product as p} where {p:code} like '%0%' }} ) Correct answer No,for an unknown reason Yes,this is a valid Flexible Search Query NO,Principale is an absract type","No,SQL alises definition needs to be inside the brackes","No,SQL alises definition needs to be inside the brackes",,,,-1
129,Is this a valid Flexible Search Query ? select {p.description[fr]:o} from {Product as p} where {p:pk} in ( {{ select {p:pk} from {product as p} where {p:code} like '%0%' }} ),yes. The flexible search query is valid.,yes if we delete :o,no,yes if we delete the whole where statemen,yes,3
130,What do you need to provide to create a search restriction ?,"1, 2, 3, 4",targeted catalog(s),targeted tenant,targeted attribute(s),targeted user or user group,0
131,What must you always specify when creating a new Adaptive Search Profile in SAP Commerce?,1. Index Type,Index Type,Catalog Version,User,Index configuration,0
132,What statements are true about Apache SOLR ?,3,Apache SOLR uses the same database as SAP Hybris,SAP Hybris uses an embedded SOLR server,All products are cached inside SOLR,Apache SOLR is a relational database,2
